make,model,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,drivetrain,vehicle_age
12,135,-0.9222741002234431,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.08415692401384335,9,Blue,6,4.0,0,-0.28135375487034925
21,30,1.603390691192672,c,-0.646720197947545,3,-0.11624567932445402,1,Base,7,4.0,3,-0.28135375487034925
7,22,0.8085064726241843,16V MPFI OHV,2.3156278630510387,4,-0.09819575446223552,19,Scat Pack,7,4.0,3,3.0747946067973886
15,23,-0.6035087543019345,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11624567932445402,19,Limited,6,4.0,1,-0.28135375487034925
12,105,-0.012350817755935354,Turbo DOHC,-0.646720197947545,4,-0.13229005697975935,32,Calligraphy,6,,0,-0.28135375487034925
15,57,0.4383901993084283,"gasoline direct injection, DOHC, intercooled turbo, premi",-0.646720197947545,4,-0.12827896256593302,32,4x4,6,4.0,1,-0.28135375487034925
26,124,-1.197750993125565,16V GDI DOHC Turbo,-0.646720197947545,4,-0.12827896256593302,16,1.5T SE,6,4.0,0,-0.28135375487034925
5,42,-1.3321075291844864,"4 gasoline direct injection, DOHC, variable valve control",-0.646720197947545,4,-0.11825122653136719,10,LS,6,4.0,2,-0.28135375487034925
24,114,-0.5518872740763159,c,-0.646720197947545,4,-0.12426786815210669,1,Premium,6,4.0,0,-0.28135375487034925
15,142,0.9105048900511141,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,19,Rubicon,6,4.0,1,-0.28135375487034925
20,21,0.17649505854113898,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",-0.646720197947545,4,-0.12426786815210669,19,Base,6,4.0,0,-0.28135375487034925
12,64,0.6299416039192143,c,-0.646720197947545,3,-0.11022903770371452,32,Disney100 Platinum Edition,6,4.0,0,-0.28135375487034925
23,88,0.16983945888940827,24V MPFI DOHC,0.8344538325517469,4,-0.13229005697975935,28,High Roof,0,3.0,2,-0.28135375487034925
19,26,0.06643416673934838,16V GDI DOHC Turbo,-0.646720197947545,4,-0.12827896256593302,19,Reserve,6,4.0,0,-0.28135375487034925
9,106,-0.29967792467211435,"6 gasoline direct injection, variable valve control, regu",0.8344538325517469,4,-0.12827896256593302,32,Work Van,0,3.0,3,-0.28135375487034925
6,83,0.5663616885469901,24V MPFI DOHC Hybrid,0.8344538325517469,5,-0.11424013211754086,33,Select,4,4.0,2,-0.28135375487034925
7,61,-0.6254235336429991,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11424013211754086,28,GT,6,4.0,0,-0.28135375487034925
0,149,1.0668844265836486,c,-3.6090682589461287,3,-0.13429560418667252,32,A-SPEC,6,4.0,0,-0.28135375487034925
22,9,-1.023136195758614,16V GDI DOHC,-0.646720197947545,4,-0.12226232094519353,33,2.5 SV,7,4.0,2,-0.28135375487034925
12,116,-0.9530630124334819,16V GDI DOHC Hybrid,-0.646720197947545,5,-0.11223458491062768,9,SEL,7,4.0,2,-0.28135375487034925
7,22,-0.7744440331622376,24V MPFI DOHC,0.8344538325517469,4,-0.09418466004840918,19,SXT,7,4.0,3,3.0747946067973886
20,21,0.5447174620372968,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",-0.646720197947545,4,-0.06811254635853801,32,Base,6,4.0,0,-0.28135375487034925
21,31,-0.16061376934733468,c,-0.646720197947545,3,-0.11825122653136719,32,Base 4MATIC,7,4.0,0,-0.28135375487034925
7,61,-0.7359714205412577,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",-0.646720197947545,4,-0.10621794328988819,26,GT AWD,6,4.0,0,-0.28135375487034925
15,57,0.6153858615914456,"gasoline direct injection, DOHC, intercooled turbo, premi",-0.646720197947545,4,-0.12827896256593302,32,Anniversary Edition,6,4.0,1,-0.28135375487034925
20,21,0.5136038864296126,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",-0.646720197947545,4,-0.1302845097728462,19,Base,6,4.0,0,-0.28135375487034925
21,31,3.2148033548393404,c,-0.646720197947545,3,-0.11424013211754086,1,Base 4MATIC,6,4.0,0,-0.28135375487034925
7,61,-0.7928957362617511,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",-0.646720197947545,4,-0.13429560418667252,32,Hornet Gt Awd,6,4.0,0,-0.28135375487034925
15,23,-1.0244889599154698,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11223458491062768,19,Latitude,6,4.0,1,-0.28135375487034925
15,142,0.254414273976035,"gasoline direct injection, DOHC, intercooled turbo, premi",-0.646720197947545,4,-0.11223458491062768,18,Sport S,6,4.0,1,-0.28135375487034925
15,56,0.10723353371012032,24V MPFI DOHC,0.8344538325517469,4,-0.10822349049680136,19,Limited,6,4.0,1,-0.28135375487034925
26,124,-0.9806052906670666,"4 gasoline direct injection, DOHC, variable valve control",-0.646720197947545,4,-0.11223458491062768,24,1.5T SE,6,4.0,2,-0.28135375487034925
23,89,0.1604783309239659,24V MPFI DOHC,0.8344538325517469,4,-0.07412918797927752,28,High Roof,0,3.0,2,-0.28135375487034925
7,29,-0.1784702562178317,16V MPFI OHV,2.3156278630510387,4,-0.07011809356545118,19,Pursuit,6,4.0,0,3.0747946067973886
26,124,-1.0686972925615186,16V GDI DOHC Turbo,-0.646720197947545,4,-0.10822349049680136,19,1.5T SE,6,4.0,2,-0.28135375487034925
4,146,-0.17549417507274886,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11424013211754086,28,Luxury,6,4.0,2,-0.28135375487034925
15,56,-0.6712010727110004,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.11424013211754086,32,Laredo,6,4.0,1,-0.28135375487034925
15,142,0.18407053781953164,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12627341535901987,19,Sport,6,4.0,1,-0.28135375487034925
7,22,-0.6841334980505421,24V MPFI DOHC,0.8344538325517469,4,-0.09418466004840918,19,SXT,7,4.0,3,3.0747946067973886
7,61,-0.2994073718407432,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,9,R/T Plus,6,4.0,0,-0.28135375487034925
7,29,-0.275706943812629,24V MPFI DOHC,0.8344538325517469,4,-0.12426786815210669,19,GT,6,4.0,0,-0.28135375487034925
0,73,0.325840221458023,24V GDI SOHC,0.8344538325517469,4,-0.12827896256593302,3,Technology,6,4.0,0,-0.28135375487034925
15,141,0.586490819201005,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.11022903770371452,32,Rubicon,6,4.0,1,-0.28135375487034925
15,55,0.19819339561710655,24V MPFI DOHC,0.8344538325517469,4,-0.13429560418667252,19,Rubicon,5,4.0,1,3.0747946067973886
7,61,-0.4673124589896892,"4 gasoline direct injection, DOHC, Multiair variable valv",-0.646720197947545,4,-0.11223458491062768,9,R/T EAWD,6,4.0,0,-0.28135375487034925
26,124,-1.3431460847044299,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11624567932445402,16,1.5T S,6,4.0,0,-0.28135375487034925
7,22,-0.7694658610650081,24V MPFI DOHC,0.8344538325517469,4,-0.10421239608297501,19,SXT,7,4.0,3,3.0747946067973886
13,93,-0.09649274831236819,"o 2L I-4 port/direct injection, DOHC, variable valve cont",-0.646720197947545,4,-0.12827896256593302,36,LUXE,6,4.0,2,-0.28135375487034925
22,137,-1.5764167359126497,16V MPFI DOHC,-0.646720197947545,4,-0.11624567932445402,33,1.6 SV,7,4.0,2,-0.28135375487034925
9,106,-0.29832516051525854,"6 gasoline direct injection, variable valve control, regu",0.8344538325517469,4,-0.11022903770371452,32,Work Van,0,3.0,3,-0.28135375487034925
21,8,2.2110523504523125,24V GDI DOHC Turbo,0.8344538325517469,4,-0.11424013211754086,28,Base,6,4.0,0,-0.28135375487034925
20,21,0.32172781842118126,16V GDI DOHC Hybrid,-0.646720197947545,5,-0.13429560418667252,19,Premium,6,4.0,0,-0.28135375487034925
8,48,0.11524189751870685,"8 variable valve control, regular unleaded, engine with 4",2.3156278630510387,4,-0.11424013211754086,3,XL,5,2.0,1,-0.28135375487034925
7,29,-0.1784702562178317,16V MPFI OHV,2.3156278630510387,4,-0.07613473518619068,19,Pursuit,6,4.0,0,3.0747946067973886
7,61,-0.3864712729759846,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.10621794328988819,9,R/T,6,4.0,0,-0.28135375487034925
15,57,0.2584725664466025,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.11424013211754086,19,Trailhawk,6,4.0,1,-0.28135375487034925
1,6,0.3231346931443113,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11022903770371452,14,S line Premium Plus,2,4.0,0,-0.28135375487034925
19,78,0.7703585234008498,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11825122653136719,19,Reserve,6,4.0,0,-0.28135375487034925
7,29,-0.28912636424863886,24V MPFI DOHC,0.8344538325517469,4,-0.07011809356545118,19,Pursuit,6,4.0,0,3.0747946067973886
